date,title,review,rating,helpful_votes,review_length,platform,language,location,version,verified_purchase,cleaned_reviews,platform_grouped,sentiment,polarity_scores
,Management political treat successful visit bill difference.,Door again adult situation office above left capital whom already. Truth although population attorney believe sort rich ever send hundred news finish partner hotel recent.,1,84,25,Flipkart,ar,Tokelau,3.2.0,No,door adult situation office leave capital already truth although population attorney believe sort rich ever send hundred news finish partner hotel recent,Web,Positive,"{'neg': 0.046, 'neu': 0.728, 'pos': 0.226, 'compound': 0.6908}"
,On build floor challenge.,Difficult because right speech staff Mr above read appear third amount. Water avoid forget partner speech establish color.,3,145,18,Flipkart,fr,British Virgin Islands,5.6.6,No,difficult right speech staff mr read appear third amount water avoid forget partner speech establish color,Web,Negative,"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.6808}"
2025-08-08,Method finish want remain pretty summer black.,Drive long majority exactly significant lot begin she represent good structure drug. Reason avoid manager defense provide life his maintain future sport.,1,102,22,Google Play,fr,Korea,2.7.5,Yes,drive long majority exactly significant lot begin represent good structure drug reason avoid manager defense provide life maintain future sport,Mobile,Positive,"{'neg': 0.09, 'neu': 0.656, 'pos': 0.254, 'compound': 0.4588}"
,Meet apply evening best possible rule.,Message sister could everyone clearly film thank possible challenge then seat drive thus. Environment live most goal brother nearly great deep however.,1,66,22,App Store,de,Iraq,4.4.5,No,message sister could everyone clearly film thank possible challenge seat drive thus environment live goal brother nearly great deep however,Mobile,Positive,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.8625}"
,System reach color race coach.,Every parent million body anyone eat book boy time offer draw mother every. Record identify hotel detail station reality manager commercial data PM relationship explain about continue traditional performance.,5,185,29,Website,en,Papua New Guinea,3.5.3,Yes,every parent million body anyone eat book boy time offer draw mother every record identify hotel detail station reality manager commercial data pm relationship explain continue traditional performance,Other,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Fight save laugh same.,Free concern enough baby quickly table order wide on major easy. And admit quite fact direction me sense simple.,1,119,19,Amazon,fr,Kuwait,4.8.4,Yes,free concern enough baby quickly table order wide major easy admit quite fact direction sense simple,Web,Positive,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.7906}"
,Create western police whole.,Feeling free military professional tend such machine establish mind policy. Without task process center marriage each scientist wind grow.,3,94,19,Website,de,China,2.2.7,Yes,feel free military professional tend machine establish mind policy without task process center marriage scientist wind grow,Other,Positive,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}"
,Administration American executive or apply.,Thousand hospital individual yes finally American mind gas partner item. Note society get body across until chair race model face newspaper class main ask.,4,191,24,Website,zh,Australia,4.8.7,Yes,thousand hospital individual yes finally american mind gas partner item note society get body across chair race model face newspaper class main ask,Other,Positive,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}"
,Throw turn others community.,Go exist teacher program shoulder choice beat. Central run it truth fact allow usually eat question hit human.,2,174,18,Website,es,Spain,5.7.8,No,go exist teacher program shoulder choice beat central run truth fact allow usually eat question hit human,Other,Positive,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4939}"
2025-03-07,Because cell trade skill oil health.,Raise current career never feeling beat note. Leave contain site street benefit money reason mean rate group government level which leave tree ago.,1,144,23,Google Play,en,Iraq,5.8.3,Yes,raise current career never feel beat note leave contain site street benefit money reason mean rate group government level leave tree ago,Mobile,Positive,"{'neg': 0.098, 'neu': 0.779, 'pos': 0.123, 'compound': 0.3818}"
,Reduce might no.,Leg several military stuff be establish. Four best fact loss former article science purpose.,2,83,14,Website,ar,Northern Mariana Islands,1.3.9,No,leg several military stuff establish four best fact loss former article science purpose,Other,Positive,"{'neg': 0.131, 'neu': 0.629, 'pos': 0.24, 'compound': 0.4404}"
2024-09-03,Argue business identify work star success.,Feeling financial writer according machine reach boy. Check they mind easy billion agency media.,1,130,14,App Store,en,British Virgin Islands,4.2.8,No,feel financial writer accord machine reach boy check mind easy billion agency medium,Mobile,Positive,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.4588}"
,Few population throw people amount trade while life.,Player continue stand price color score national. Lose face beyond open happen every history son less spend challenge exist build hope.,4,144,21,Google Play,ru,Guinea-Bissau,4.4.0,No,player continue stand price color score national lose face beyond open happen every history son less spend challenge exist build hope,Mobile,Positive,"{'neg': 0.11, 'neu': 0.731, 'pos': 0.159, 'compound': 0.0571}"
,Open oil once stop attack ahead.,Decision total modern message company charge pretty none least teach cause size. Type attention stuff low while paper Congress remain medical probably else.,3,0,23,Flipkart,pt,Luxembourg,1.0.6,No,decision total modern message company charge pretty none least teach cause size type attention stuff low paper congress remain medical probably else,Web,Positive,"{'neg': 0.083, 'neu': 0.791, 'pos': 0.126, 'compound': 0.2732}"
,News cultural make quickly different score its.,Food discuss sign true somebody black thing rock himself wind two artist. Boy suggest authority shake paper subject type fly recognize help writer.,1,138,23,Google Play,es,Paraguay,4.0.4,No,food discuss sign true somebody black thing rock wind two artist boy suggest authority shake paper subject type fly recognize help writer,Mobile,Positive,"{'neg': 0.064, 'neu': 0.679, 'pos': 0.257, 'compound': 0.6249}"
2024-07-07,Material anything music against.,Almost cell accept similar nothing ten future radio. Many strategy now list goal peace next case attack into heavy audience back site fear.,2,196,23,Flipkart,ja,Romania,3.6.7,No,almost cell accept similar nothing ten future radio many strategy list goal peace next case attack heavy audience back site fear,Web,Negative,"{'neg': 0.216, 'neu': 0.584, 'pos': 0.2, 'compound': -0.1226}"
,Dog authority way toward.,Their citizen explain move drop military. Matter human arm recently book likely true enjoy air full end free share cause natural safe.,4,20,22,Website,fr,Israel,3.1.2,No,citizen explain move drop military matter human arm recently book likely true enjoy air full end free share cause natural safe,Other,Positive,"{'neg': 0.063, 'neu': 0.393, 'pos': 0.544, 'compound': 0.9313}"
,She receive involve interview case just.,Upon thought long can rich bit market different go local sit theory direction. Ago site cultural part here raise adult lot.,5,32,21,Flipkart,en,Uruguay,1.4.7,No,upon think long rich bit market different go local sit theory direction ago site cultural part raise adult lot,Web,Positive,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}"
2025-06-01,Price prevent baby voice day relate spend.,Discussion open dinner section thousand soldier nothing yard address. Spend baby camera Congress analysis glass pretty each factor paper.,5,97,19,Flipkart,de,Haiti,4.5.2,No,discussion open dinner section thousand soldier nothing yard address spend baby camera congress analysis glass pretty factor paper,Web,Positive,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4939}"
,Arrive take himself affect.,Fall president money environment recently me approach too relationship perform evidence data case. Discover score decision head staff center within recognize practice law box material almost everyone his.,2,185,28,Google Play,en,Czech Republic,4.9.0,Yes,fall president money environment recently approach relationship perform evidence data case discover score decision head staff center within recognize practice law box material almost everyone,Mobile,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Weight usually explain yard movement interest.,Continue issue appear figure must girl ago participant throw two. Special opportunity serious game stop its into role save arm body.,2,17,21,Google Play,pt,Samoa,1.7.9,Yes,continue issue appear figure must girl ago participant throw two special opportunity serious game stop role save arm body,Mobile,Positive,"{'neg': 0.134, 'neu': 0.534, 'pos': 0.332, 'compound': 0.7351}"
2025-08-09,Design around voice everybody particular finish ask.,Car address son week beat economic myself front house. Ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point.,2,189,25,Google Play,ja,Eritrea,4.3.8,Yes,car address son week beat economic front house ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point,Mobile,Positive,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2023}"
,Glass back kitchen memory down.,Camera piece chair peace anyone boy although range team oil among response. Weight yeah window administration suddenly support music and.,1,35,20,Website,hi,Norway,2.9.5,No,camera piece chair peace anyone boy although range team oil among response weight yeah window administration suddenly support music,Other,Positive,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.8126}"
,Require vote her old price change several power.,Central force small friend impact present likely wind perform. Happy fact change option blood deep finish respond score.,2,77,18,Flipkart,ru,Monaco,2.6.4,No,central force small friend impact present likely wind perform happy fact change option blood deep finish respond score,Web,Positive,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.7845}"
,President painting large industry notice step.,Piece safe much building these sometimes parent process minute first crime offer treat. During should gun lay security break drop run they gun goal measure.,1,142,25,Website,fr,United States of America,4.8.7,Yes,piece safe much building sometimes parent process minute first crime offer treat gun lay security break drop run gun goal measure,Other,Negative,"{'neg': 0.321, 'neu': 0.432, 'pos': 0.247, 'compound': -0.34}"
,Car term truth toward.,Program painting somebody game brother impact measure chance management thing cup conference law. Building enjoy never us sea call alone issue real.,3,164,22,App Store,ru,Rwanda,3.6.6,Yes,program painting somebody game brother impact measure chance management thing cup conference law building enjoy never u sea call alone issue real,Mobile,Positive,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.7131}"
,Time order have power.,Front station from participant blue reveal available. Wear treat piece scientist job serious record safe rich operation star meeting.,3,96,19,Flipkart,ru,Madagascar,4.3.3,No,front station participant blue reveal available wear treat piece scientist job serious record safe rich operation star meeting,Web,Positive,"{'neg': 0.053, 'neu': 0.571, 'pos': 0.376, 'compound': 0.836}"
,Girl close explain main.,Evidence significant discussion manage answer military modern meet up expect himself serious well. Sport same writer decision mind offer past.,2,118,20,Google Play,ru,United States Virgin Islands,4.6.8,Yes,evidence significant discussion manage answer military modern meet expect serious well sport writer decision mind offer past,Mobile,Positive,"{'neg': 0.068, 'neu': 0.729, 'pos': 0.203, 'compound': 0.3818}"
,Respond try build threat.,Send under project cell deal stuff senior agree total whether music sometimes according. Hard example way interview know call law.,4,62,20,Amazon,de,Fiji,3.1.7,No,send project cell deal stuff senior agree total whether music sometimes accord hard example way interview know call law,Web,Positive,"{'neg': 0.067, 'neu': 0.813, 'pos': 0.12, 'compound': 0.2732}"
,Account carry heavy wall pull enter charge sport.,Why sound season develop avoid church friend. Piece mention since religious fire under item usually some fish success produce there along.,1,137,21,Flipkart,en,Norfolk Island,3.6.9,Yes,sound season develop avoid church friend piece mention since religious fire item usually fish success produce along,Web,Positive,"{'neg': 0.188, 'neu': 0.531, 'pos': 0.282, 'compound': 0.5106}"
,Themselves property make picture our.,Week tax see about attack newspaper decade. Although read party piece doctor give most west there.,1,48,16,Website,ru,Bouvet Island (Bouvetoya),2.7.3,No,week tax see attack newspaper decade although read party piece doctor give west,Other,Negative,"{'neg': 0.185, 'neu': 0.655, 'pos': 0.161, 'compound': -0.1027}"
,Article sign energy fish hot kind.,Information language easy interesting computer what produce girl huge. Similar low source major include dog fact medical three.,3,3,18,Flipkart,de,Ethiopia,1.7.3,Yes,information language easy interesting computer produce girl huge similar low source major include dog fact medical three,Web,Positive,"{'neg': 0.091, 'neu': 0.565, 'pos': 0.343, 'compound': 0.7003}"
,Teacher director soon treat former democratic.,Fund stand final important occur coach deal personal. Particularly can music wear again here sister four good she as any decision movement world study.,4,61,24,Website,zh,Angola,3.6.7,No,fund stand final important occur coach deal personal particularly music wear sister four good decision movement world study,Other,Positive,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5719}"
,Painting charge save society create paper fine.,Bill huge machine church feeling discover significant easy evening buy six pretty. Stand theory technology baby mean region run after sea.,3,66,21,Amazon,ru,Falkland Islands (Malvinas),4.7.1,No,bill huge machine church feeling discover significant easy even buy six pretty stand theory technology baby mean region run sea,Web,Positive,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.8658}"
,Side language live board financial century.,Between wide office heavy involve develop image everything. Traditional mouth each admit market hour head national board difference window.,3,52,19,Amazon,zh,Tonga,4.0.9,Yes,wide office heavy involve develop image everything traditional mouth admit market hour head national board difference window,Web,Positive,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2023}"
,Recognize heart series class security coach.,Economic center pattern list rich note discussion should edge find full character focus. Out the environmental decide none major matter where dog leave lot never science run TV.,2,4,28,Amazon,ru,Argentina,5.9.6,No,economic center pattern list rich note discussion edge find full character focus environmental decide none major matter dog leave lot never science run tv,Web,Positive,"{'neg': 0.085, 'neu': 0.781, 'pos': 0.134, 'compound': 0.5149}"
,Decision form section you until clearly resource.,Manager phone modern cause them industry across brother yet result they. Mission past he practice center model daughter pass research mind economy.,2,50,22,Amazon,de,Christmas Island,4.9.3,No,manager phone modern cause industry across brother yet result mission past practice center model daughter pass research mind economy,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Must process back check room evidence enjoy.,Attack with find could really Mrs former article light choose go next. General add cover exist treatment international role happen short various.,5,167,22,Amazon,hi,Oman,4.7.7,Yes,attack find could really mrs former article light choose go next general add cover exist treatment international role happen short various,Web,Negative,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.4767}"
,Force matter bring nice help history listen.,Form sign option everyone southern the protect list collection situation. Before sound chair close themselves follow time appear memory keep.,3,43,20,Flipkart,ru,Belgium,4.2.8,Yes,form sign option everyone southern protect list collection situation sound chair close follow time appear memory keep,Web,Positive,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}"
,Him condition section action kind.,Success western watch street represent style night majority smile rate newspaper itself give. Term talk side generation interest pay then.,5,8,20,Google Play,en,Bhutan,1.6.2,Yes,success western watch street represent style night majority smile rate newspaper give term talk side generation interest pay,Mobile,Positive,"{'neg': 0.057, 'neu': 0.569, 'pos': 0.374, 'compound': 0.8316}"
,Space although ahead thus check save that.,Trouble me actually event positive politics huge yet region ever. Wife statement tell until young place make list.,1,181,18,Flipkart,en,British Indian Ocean Territory (Chagos Archipelago),2.8.7,No,trouble actually event positive politics huge yet region ever wife statement tell young place make list,Web,Positive,"{'neg': 0.125, 'neu': 0.602, 'pos': 0.273, 'compound': 0.4939}"
,Challenge entire common and part read important.,Pm artist best name work create pass admit student summer first. Town only want might wait idea study prove assume.,1,158,20,Website,ar,British Indian Ocean Territory (Chagos Archipelago),4.0.0,No,pm artist best name work create pas admit student summer first town want might wait idea study prove assume,Other,Positive,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.8126}"
,Section scene financial here expert.,Nothing recent not leg break bed role control option whole short. Design hear ball right east study politics.,1,4,18,Website,hi,Czech Republic,5.4.0,No,nothing recent not leg break bed role control option whole short design hear ball right east study politics,Other,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Before significant election life all.,Evening current without else keep begin great hair. Last piece story already strong history Mrs decision reduce get specific someone debate record mean.,2,27,23,Google Play,ru,Lebanon,2.3.3,No,even current without else keep begin great hair last piece story already strong history mr decision reduce get specific someone debate record mean,Mobile,Positive,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.8126}"
,Room list during rich over lot.,Only head help open almost red picture thank account instead friend. Cost group clear national sell keep pattern order.,3,68,19,App Store,es,Serbia,3.6.7,Yes,head help open almost red picture thank account instead friend cost group clear national sell keep pattern order,Mobile,Positive,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.8669}"
,Tax job right child new.,Blue international especially officer or clearly coach feel others recently model week. Sell candidate four whether wife finally she soon learn close a challenge third feeling ball.,2,76,27,Google Play,en,Bolivia,1.6.6,No,blue international especially officer clearly coach feel others recently model week sell candidate four whether wife finally soon learn close challenge third feeling ball,Mobile,Positive,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5829}"
,Trip population catch could deep itself.,Rather recognize tree protect story relationship several benefit campaign several card significant today. Others move get prove wife agree those concern dog gun may ability out.,5,121,26,Google Play,en,Canada,2.1.7,No,rather recognize tree protect story relationship several benefit campaign several card significant today others move get prove wife agree concern dog gun may ability,Mobile,Positive,"{'neg': 0.074, 'neu': 0.552, 'pos': 0.374, 'compound': 0.8316}"
,Activity president prove institution approach interesting score.,Hit start alone when instead clear radio strong let. Get run pretty identify southern claim can medical.,3,144,17,Google Play,ru,Korea,1.3.3,No,hit start alone instead clear radio strong let get run pretty identify southern claim medical,Mobile,Positive,"{'neg': 0.09, 'neu': 0.498, 'pos': 0.412, 'compound': 0.7964}"
,Let always test.,Sit Republican such will born condition interest service that bag. Front various opportunity culture spend road lawyer.,3,11,17,Google Play,hi,Poland,5.9.0,Yes,sit republican bear condition interest service bag front various opportunity culture spend road lawyer,Mobile,Positive,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.7003}"
,Plan issue ever will.,International push short age environment fall indicate land fear. Other ground already school eat base behind.,3,4,16,Flipkart,pt,Venezuela,2.6.1,No,international push short age environment fall indicate land fear ground already school eat base behind,Web,Negative,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.4939}"
2025-05-06,Past much soldier reason any.,Notice American force although participant rich speech big mention rise front PM. Institution against wear either present third student item bring court end.,2,144,23,Flipkart,pt,Falkland Islands (Malvinas),4.8.5,No,notice american force although participant rich speech big mention rise front pm institution wear either present third student item bring court end,Web,Positive,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.5574}"
2025-05-02,Play forget home upon actually future.,Everybody provide painting travel question evening imagine affect. Price ever leg so play best different remember determine particularly rock participant leave.,2,176,21,Google Play,ru,Timor-Leste,3.0.1,No,everybody provide paint travel question even imagine affect price ever leg play best different remember determine particularly rock participant leave,Mobile,Positive,"{'neg': 0.058, 'neu': 0.678, 'pos': 0.263, 'compound': 0.73}"
2025-08-05,Writer heart Mrs her we but how.,Decision recently pull eight allow system whose place no generation debate world. Fight seem later level choose once person north indeed share seem exist.,2,19,24,Amazon,pt,Christmas Island,5.9.6,No,decision recently pull eight allow system whose place no generation debate world fight seem later level choose person north indeed share seem exist,Web,Negative,"{'neg': 0.172, 'neu': 0.681, 'pos': 0.147, 'compound': -0.1779}"
,Under concern eye mouth.,Short worker without nearly goal design too everything. Picture professional rather plan player maybe mouth different identify series experience under.,1,162,20,Amazon,ar,Hungary,4.3.5,No,short worker without nearly goal design everything picture professional rather plan player maybe mouth different identify series experience,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,Leader rich dream line.,Wind improve player peace catch people your outside rule watch foot. Coach personal range weight age over smile hope memory cover.,4,47,21,Website,ja,Uganda,1.9.4,Yes,wind improve player peace catch people outside rule watch foot coach personal range weight age smile hope memory cover,Other,Positive,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.8957}"
2025-02-03,Positive move agency lose rise fall huge state.,Officer learn raise kitchen drop computer left political. Study the training each reveal attorney security radio image mind like history situation whatever third Mr.,1,21,24,Amazon,fr,Madagascar,4.2.6,No,officer learn raise kitchen drop computer leave political study train reveal attorney security radio image mind like history situation whatever third mr,Web,Positive,"{'neg': 0.126, 'neu': 0.687, 'pos': 0.187, 'compound': 0.3818}"
2025-02-07,Challenge eye determine he.,Investment buy certainly energy stay send born college include fund tree. Decide best politics available tonight man each employee far know skin record nothing organization.,3,27,25,Google Play,en,Mongolia,3.7.5,No,investment buy certainly energy stay send bear college include fund tree decide best politics available tonight man employee far know skin record nothing organization,Mobile,Positive,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.8271}"
,Image peace color general choose system fire.,Little key far season reason chair factor his PM. Surface on chance activity hair meet thank.,1,33,16,Google Play,fr,Trinidad and Tobago,4.7.8,No,little key far season reason chair factor pm surface chance activity hair meet thank,Mobile,Positive,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.5423}"
,Suggest Mrs bag something land mission each.,Compare today add water garden finally difference everything sing smile practice ground. Notice police activity second standard skin together scientist hair allow phone weight medical even.,1,6,26,Google Play,zh,Ecuador,5.1.9,No,compare today add water garden finally difference everything sing smile practice ground notice police activity second standard skin together scientist hair allow phone weight medical even,Mobile,Positive,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5267}"
,Between operation our feel act.,Concern without entire everyone sea safe true town car few debate. One ok less Mr sit five plant cultural bring bar.,4,3,21,Amazon,ja,Saint Helena,4.1.8,Yes,concern without entire everyone sea safe true town car debate one ok less mr sit five plant cultural bring bar,Web,Positive,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.7845}"
2025-07-03,Assume it fight understand.,Since crime south pass lead a senior over manage computer medical. Exist population enough mother game question me personal born series consider according throw meeting many.,5,133,26,Flipkart,ja,Martinique,2.2.4,No,since crime south pass lead senior manage computer medical exist population enough mother game question personal born series consider accord throw meeting many,Web,Negative,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.5423}"
,He fill risk stop firm.,Cover board discussion film figure short line range. Decision public food court how commercial citizen production for might listen organization indicate risk director enjoy.,3,126,24,Flipkart,es,Albania,2.6.4,No,cover board discussion film figure short line range decision public food court commercial citizen production might listen organization indicate risk director enjoy,Web,Positive,"{'neg': 0.083, 'neu': 0.791, 'pos': 0.126, 'compound': 0.2732}"
,Blood during for look return.,Area impact position cause lead ever stand dark product eight strategy. Focus so for nice current Democrat me.,3,123,18,Google Play,zh,Slovakia (Slovak Republic),3.3.7,Yes,area impact position cause lead ever stand dark product eight strategy focus nice current democrat,Mobile,Positive,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}"
2025-06-05,Foreign national produce news stage.,Reach training main exactly parent heart big policy everybody hard. Book care seek foot simple including charge character federal customer because.,4,27,21,Flipkart,hi,Trinidad and Tobago,1.6.5,No,reach training main exactly parent heart big policy everybody hard book care seek foot simple include charge character federal customer,Web,Positive,"{'neg': 0.062, 'neu': 0.749, 'pos': 0.189, 'compound': 0.4404}"
,Not yet where.,Whatever guess significant section Democrat fly direction gun current will. Effort section age budget improve how main answer more tree mention.,3,112,21,Amazon,ja,Montserrat,5.2.4,No,whatever guess significant section democrat fly direction gun current effort section age budget improve main answer tree mention,Web,Positive,"{'neg': 0.109, 'neu': 0.679, 'pos': 0.213, 'compound': 0.3182}"
,Practice authority possible fund.,Same north wind sister mother sometimes. Off life practice course authority range stand letter.,5,177,14,Flipkart,ar,Montserrat,3.2.6,No,north wind sister mother sometimes life practice course authority range stand letter,Web,Positive,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}"
,Music west force firm.,Perhaps hope across follow character talk. Purpose force leader program show off great they test check significant deal consider ago own suddenly.,3,188,22,App Store,pt,Central African Republic,2.5.6,No,perhaps hope across follow character talk purpose force leader program show great test check significant deal consider ago suddenly,Mobile,Positive,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8316}"
,Clear decide wait scientist.,Do turn sign agree there want but way agent. Herself land human day herself sport behavior compare tree right.,4,93,19,Google Play,pt,Comoros,2.9.8,Yes,turn sign agree want way agent land human day sport behavior compare tree right,Mobile,Positive,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.4215}"
,Role today animal suggest concern.,Son growth effort born lead account sound. Which beyond growth finally assume watch present director red practice special then administration.,5,6,20,App Store,de,Puerto Rico,4.4.1,No,son growth effort bear lead account sound beyond growth finally assume watch present director red practice special administration,Mobile,Positive,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.7845}"
,Marriage fill personal.,Article sort term produce he increase. Information company million character speak protect half understand skill.,4,35,15,Amazon,de,Greenland,3.2.6,No,article sort term produce increase information company million character speak protect half understand skill,Web,Positive,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.5994}"
2024-01-09,Light total campaign prevent half party respond.,Alone the trial another help out modern citizen address today begin write. Why less indeed together key tax speak a.,1,114,20,Website,ar,Congo,5.6.8,No,alone trial another help modern citizen address today begin write less indeed together key tax speak,Other,Positive,"{'neg': 0.107, 'neu': 0.749, 'pos': 0.144, 'compound': 0.1779}"
,Foreign hear certainly say.,Method south central process sea response executive past. Difficult continue process forget wind property mind officer third service.,5,9,18,Amazon,ru,Niue,5.1.1,Yes,method south central process sea response executive past difficult continue process forget wind property mind officer third service,Web,Negative,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.5267}"
,Effort southern maintain nature.,Woman add play structure down however activity lose. Could thank wife if yeah law enjoy key seat pretty method front.,3,42,20,Website,en,Malaysia,5.6.5,No,woman add play structure however activity lose could thank wife yeah law enjoy key seat pretty method front,Other,Positive,"{'neg': 0.096, 'neu': 0.426, 'pos': 0.479, 'compound': 0.8689}"
,Consumer star those memory center quite simply.,Site interview agent myself behind window. Build require call girl laugh network vote whom.,1,2,14,Google Play,hi,Nepal,2.8.8,Yes,site interview agent behind window build require call girl laugh network vote,Mobile,Positive,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.5574}"
,Interest dark any wide husband hope miss instead.,None most another mouth much really young. Hear beyond close plant peace successful seem charge walk.,4,95,16,App Store,ar,Saint Helena,5.8.2,No,none another mouth much really young hear beyond close plant peace successful seem charge walk,Mobile,Positive,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.8074}"
,Strong audience white everybody throughout.,A edge new find type party where arrive improve. Lose civil will with within hospital city industry option.,1,123,18,Google Play,hi,Peru,4.1.1,Yes,edge new find type party arrive improve lose civil within hospital city industry option,Mobile,Positive,"{'neg': 0.14, 'neu': 0.57, 'pos': 0.29, 'compound': 0.4404}"
,Letter one then reality some serve different billion.,Kitchen public set action bring find bill pick. Discussion just state must particular child they senior result themselves we American study eight.,3,79,22,Amazon,ar,Italy,2.8.7,No,kitchen public set action bring find bill pick discussion state must particular child senior result american study eight,Web,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2024-04-06,Parent not parent that property among blue.,Tend exactly right every edge meet information. Work bar big south drug manager opportunity program billion sit remain.,4,24,18,App Store,ar,Serbia,3.1.4,Yes,tend exactly right every edge meet information work bar big south drug manager opportunity program billion sit remain,Mobile,Positive,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}"
,Piece forget factor.,Oil remember page spring responsibility always positive key leave tell. Vote spend physical sing protect agent note.,1,5,17,Amazon,es,Korea,2.3.8,Yes,oil remember page spring responsibility always positive key leave tell vote spend physical sing protect agent note,Web,Positive,"{'neg': 0.056, 'neu': 0.654, 'pos': 0.29, 'compound': 0.7184}"
,Goal Mrs source whole first figure.,Grow raise good whole everybody situation foot recognize play. Decide side natural focus husband give spring suddenly task.,5,40,18,Amazon,ru,Luxembourg,4.7.3,No,grow raise good whole everybody situation foot recognize play decide side natural focus husband give spring suddenly task,Web,Positive,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.7783}"
,Cup bed our theory.,Series dark task magazine front just guess city. Follow born ok training record night series Mrs huge.,2,47,17,App Store,ja,Saint Barthelemy,1.9.3,No,series dark task magazine front guess city follow bear ok training record night series mr huge,Mobile,Positive,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.5423}"
,Father who tax.,Government card history suddenly save theory sometimes party wife food different step. Nature property event manager street work early difficult possible democratic.,5,109,22,App Store,en,Micronesia,2.3.4,Yes,government card history suddenly save theory sometimes party wife food different step nature property event manager street work early difficult possible democratic,Mobile,Positive,"{'neg': 0.091, 'neu': 0.693, 'pos': 0.215, 'compound': 0.5267}"
